unix,player_elo,opp_elo,opp_name,opp_30d,elo_diff,color,player_acc,opp_acc,acc_diff,won,num_reque,time_since_prev,opp_num_reque,opp_time_since_prev
1696530527,1272,1231,evil_monster,120,41,True,87.17,76.26,10.909999999999997,1.0,1,596,1,1185
1696532928,1279,1288,Trimm51,177,-9,True,87.7,76.16,11.540000000000006,1.0,0,2401,2,1095
1696534999,1287,1315,A4bhushan,136,-28,True,67.19,70.53,-3.3400000000000034,0.0,0,2071,0,19750
1696535219,1280,1289,6qbeumala,39,-9,False,84.2,74.34,9.86,1.0,1,220,0,43768
1696535795,1288,1289,rvslowking,237,-1,False,61.71,73.76,-12.050000000000004,0.0,2,576,6,552
1696536942,1280,1263,1FaLLaWa1,248,17,True,75.1,80.23,-5.13000000000001,1.0,3,1147,0,15020
1696538066,1288,1327,Sat1oshi,332,-39,False,76.22,74.43,1.789999999999992,1.0,4,1124,2,1124
1696538972,1297,1285,tallthomas07,121,12,True,72.1,85.88,-13.780000000000001,0.0,5,906,0,6585
1696539886,1289,1246,moss97,175,43,True,73.7,81.02,-7.319999999999993,0.0,6,914,0,9743
1696541001,1280,1238,alidailami,161,42,False,67.81,63.52,4.289999999999999,0.0,7,1115,0,5033
1696541826,1271,1231,antchaos,420,40,False,65.58,58.48,7.100000000000001,1.0,8,825,0,2979
1696543069,1278,1235,butters1337,31,43,False,65.43,74.14,-8.709999999999994,0.0,9,1243,0,7621
1696544135,1269,1286,HoracioMorais,489,-17,True,74.33,80.44,-6.109999999999999,1.0,10,1066,7,1068
1696544997,1277,1281,FanGeo,348,-4,True,74.9,63.89,11.010000000000005,1.0,11,862,3,836
1696545858,1285,1276,ahmetadakli01,552,9,True,63.33,76.82,-13.489999999999995,0.0,12,861,3,907
1696546733,1277,1230,krmlo,181,47,False,73.72,69.77,3.950000000000003,1.0,13,875,3,878
1696547435,1284,1328,Tgaus,100,-44,True,74.78,87.22,-12.439999999999998,0.0,14,702,1,609
1696547731,1277,1266,anuj_2009,1665,11,False,73.24,66.25,6.989999999999995,1.0,15,296,12,292
